epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,72.1985,2.25846,0.15385,0.57692,2.35251,5.383e-05,5.383e-05,5.383e-05
2,137.547,2.05836,0.34615,0.80769,2.00266,0.00010964,0.00010964,0.00010964
3,200.875,1.83562,0.46154,0.84615,1.77585,0.00015936,0.00015936,0.00015936
4,264.603,1.602,0.5,0.92308,1.57214,0.000202989,0.000202989,0.000202989
5,328.33,1.47569,0.61538,0.92308,1.36807,0.000240528,0.000240528,0.000240528
6,393.224,1.29255,0.65385,0.96154,1.18799,0.000271976,0.000271976,0.000271976
7,456.176,1.03722,0.65385,0.96154,1.05366,0.000297334,0.000297334,0.000297334
8,520.73,0.90986,0.73077,0.96154,0.92145,0.000316601,0.000316601,0.000316601
9,589.231,0.87516,0.73077,0.96154,0.78015,0.000329778,0.000329778,0.000329778
10,653.29,0.73726,0.76923,0.96154,0.74442,0.000336864,0.000336864,0.000336864
11,717.917,0.68506,0.84615,0.96154,0.69804,0.00033786,0.00033786,0.00033786
12,784.524,0.62032,0.84615,0.96154,0.65651,0.000332766,0.000332766,0.000332766
13,851.064,0.56768,0.84615,0.96154,0.66694,0.000312214,0.000312214,0.000312214
14,916.973,0.46747,0.84615,0.96154,0.65725,0.000274148,0.000274148,0.000274148
15,983.281,0.49583,0.84615,0.96154,0.649,0.000236083,0.000236083,0.000236083
16,1049.66,0.36449,0.84615,0.96154,0.59826,0.000198018,0.000198018,0.000198018
17,1116.96,0.44016,0.84615,0.96154,0.548,0.000159952,0.000159952,0.000159952
18,1180.62,0.48245,0.84615,0.96154,0.51101,0.000121887,0.000121887,0.000121887
19,1244.54,0.32047,0.84615,0.96154,0.53,8.3821e-05,8.3821e-05,8.3821e-05
20,1308.34,0.28231,0.84615,0.96154,0.52978,4.57555e-05,4.57555e-05,4.57555e-05
